categorie_cible,sous_categorie,reference_name,fra,eng,usage,justification
animal_productions,Ovins,milk_ewe,Brebis laitières,Milk ewe,milk,"Filière lait de brebis (Roquefort, Ossau-Iraty, etc.) totalement absente"
animal_productions,Ovins,meat_ewe,Brebis allaitantes,Meat ewe,meat,"Filière viande ovine (agneau de lait, agneau de boucherie)"
animal_productions,Ovins,lamb,Agneaux,Lamb,meat,Production d'agneaux pour engraissement/abattage
animal_productions,Ovins,ram,Béliers,Ram,reproduction,"Reproducteurs mâles, indispensable pour suivi du troupeau"
animal_productions,Caprins,milk_goat,Chèvres laitières,Milk goat,milk,"Filière caprine (chèvre du Poitou, fromages AOP)"
animal_productions,Caprins,meat_goat,Chèvres allaitantes,Meat goat,meat,Élevage caprin viande
animal_productions,Caprins,kid,Chevreaux,Kid,meat,Production de chevreaux
animal_productions,Caprins,buck,Boucs,Buck,reproduction,Reproducteurs caprins
animal_productions,Porcins,sow,Truies,Sow,reproduction,Élevage porcin naisseur
animal_productions,Porcins,piglet,Porcelets,Piglet,meat,Production de porcelets (naisseur)
animal_productions,Porcins,fattening_pig,Porcs charcutiers,Fattening pig,meat,Engraissement porcs (filière charcutière)
animal_productions,Porcins,boar,Verrats,Boar,reproduction,Reproducteurs mâles porcins
animal_productions,Volailles,laying_hen,Poules pondeuses,Laying hen,egg,Production d'œufs (catégorie majeure manquante)
animal_productions,Volailles,broiler_chicken,Poulets de chair,Broiler chicken,meat,"Volailles de chair (label rouge, bio, standard)"
animal_productions,Volailles,turkey,Dindes,Turkey,meat,Élevage de dindes
animal_productions,Volailles,duck_meat,Canards de chair,Meat duck,meat,Canard à rôtir
animal_productions,Volailles,fattened_duck,Canards gras,Fattened duck,foie_gras,Filière foie gras / palmipèdes gras
animal_productions,Volailles,goose,Oies,Goose,meat,Oie de chair / foie gras
animal_productions,Volailles,guinea_fowl,Pintades,Guinea fowl,meat,Pintade de chair
animal_productions,Volailles,quail,Cailles,Quail,meat_egg,Cailles (chair et œufs)
animal_productions,Volailles,pigeon,Pigeons,Pigeon,meat,Pigeonneau (filière de niche)
animal_productions,Cuniculture,rabbit,Lapins,Rabbit,meat,Cuniculture - filière lapin de chair
animal_productions,Cuniculture,doe_rabbit,Lapines reproductrices,Doe rabbit,reproduction,Lapines mères en élevage
animal_productions,Équins,draft_horse,Chevaux de trait,Draft horse,work,"Chevaux de travail (trait, débardage)"
animal_productions,Équins,saddle_horse,Chevaux de selle,Saddle horse,leisure,Élevage chevaux de selle/loisir
animal_productions,Équins,race_horse,Chevaux de course,Race horse,race,Élevage hippique de course
animal_productions,Équins,pony,Poneys,Pony,leisure,"Élevage de poneys (clubs, loisir)"
